algorithm,seed,episode,cumulative_steps,epsilon,return,episode_length,success,events,td_target_mean,td_target_variance,td_error_mean,td_error_variance,first_success_step
Q-Learning,1,16,3130,0.38125,-848.0,200,0,72,-4.244455,18.754455073341713,-4.049506,16.94319385835578,947.0
Q-Learning,1,17,3330,0.3400000000000001,-650.0,200,0,50,-3.2901841494999995,15.20069943758663,-3.1121925494999996,13.967729590206257,947.0
Q-Learning,1,18,3530,0.29874999999999996,-776.0,200,0,64,-3.9007400050000003,17.668437892241815,-3.7428430049999997,16.41531831810108,947.0
Q-Learning,1,19,3730,0.25750000000000006,-380.0,200,0,20,-2.178609887400363,7.380086689332584,-1.6317147146162359,4.132199643818196,947.0
Q-Learning,1,20,3930,0.21625000000000005,-479.0,200,0,31,-2.5414081541298637,10.466317912902445,-2.2355607536067637,9.031572662395398,947.0
Q-Learning,1,21,4130,0.17499999999999993,-326.0,200,0,14,-2.0318213142340635,5.343223945941012,-1.4638470181325254,3.2240698727987205,947.0
Q-Learning,1,22,4330,0.13375000000000004,-551.0,200,0,39,-2.856813134995,12.552814331046832,-2.6424452524950004,11.600516879155139,947.0
Q-Learning,1,23,4484,0.09250000000000003,-223.0,154,1,10,-1.713230859107798,7.911854402641555,-1.3539633821263688,6.797238502793059,947.0
Q-Learning,1,24,4684,0.05125000000000002,-677.0,200,0,53,-3.4389937013461616,15.678630463597065,-3.281513896884661,14.801811835740889,947.0
Q-Learning,1,25,4884,0.010000000000000009,-542.0,200,0,38,-2.8138061981935,12.247177424498968,-2.6398740170445,11.797944898585524,947.0
Q-Learning,1,26,5084,0.010000000000000009,-209.0,200,0,1,-1.4537946139269196,0.4283764201231215,-1.0144101973173734,0.23399699175152192,947.0
Q-Learning,1,27,5284,0.010000000000000009,-497.0,200,0,33,-2.566114759,11.023828559837646,-2.409243008,10.453640430258186,947.0
Q-Learning,1,28,5451,0.010000000000000009,-299.0,167,1,17,-1.9502394370822247,10.168581786520608,-1.7469070281507877,9.472892068445002,947.0
Q-Learning,1,29,5651,0.010000000000000009,-209.0,200,0,1,-1.5137796792581186,0.4249474171623471,-1.0082816753200106,0.19175980176789958,947.0
Q-Learning,1,30,5851,0.010000000000000009,-380.0,200,0,20,-2.01849453748,7.164233728102992,-1.8502686330300002,6.85933742133702,947.0
Expected SARSA,0,1,200,1.0,-893.0,200,0,77,-4.873628698012593,19.843677085345487,-4.360979082728234,15.641429998167828,
Expected SARSA,0,2,400,0.95875,-857.0,200,0,73,-4.591699706003582,19.769807928349792,-4.141229561146497,15.64890762028598,
Expected SARSA,0,3,600,0.9175,-695.0,200,0,55,-4.283984609257854,16.540815118684545,-3.509968471557355,11.5267089637049,
Expected SARSA,0,4,800,0.87625,-812.0,200,0,68,-4.5446206290603675,18.762919970303194,-3.9735002436046414,14.241106920560737,
Expected SARSA,0,5,977,0.835,-633.0,177,1,53,-3.921421738038052,20.48658896038863,-3.5004057722659616,17.192664944003983,977.0
Expected SARSA,0,6,1177,0.79375,-758.0,200,0,62,-4.1430160466866495,17.564731184347988,-3.7435279606293124,14.605007111169384,977.0
Expected SARSA,0,7,1377,0.7525,-623.0,200,0,47,-3.306972548432138,14.76840250378506,-3.1019964459716074,13.177733988261638,977.0
Expected SARSA,0,8,1577,0.7112499999999999,-767.0,200,0,63,-4.080733086367579,17.399444350646736,-3.7676045831269436,14.93907072364355,977.0
Expected SARSA,0,9,1777,0.67,-767.0,200,0,63,-4.022390748122263,17.742878970643606,-3.750158771853297,15.297791742054416,977.0
Expected SARSA,0,10,1977,0.62875,-668.0,200,0,52,-3.610419625315375,15.474607495578322,-3.3737400806855544,14.004639886881794,977.0
Expected SARSA,0,11,2177,0.5874999999999999,-713.0,200,0,57,-3.726206051239467,16.667522986592218,-3.5170060523367295,14.948283608791332,977.0
Expected SARSA,0,12,2377,0.54625,-740.0,200,0,60,-3.9768203199314587,16.90003651410671,-3.647378645930993,14.581551252107689,977.0
Expected SARSA,0,13,2577,0.505,-677.0,200,0,53,-3.5841122712790354,15.723039064235742,-3.3445419559124376,14.00489783074111,977.0
Expected SARSA,0,14,2777,0.46375,-596.0,200,0,44,-3.1976638762840066,13.882319722840416,-2.9804791902455996,12.500490668043913,977.0
Expected SARSA,0,15,2977,0.4225,-488.0,200,0,32,-2.98887618551905,10.886719353523842,-2.413691554880346,7.780704162568638,977.0
Expected SARSA,0,16,3177,0.38125,-641.0,200,0,49,-3.3774882234055976,14.828458017760806,-3.202345236552753,13.778343180510054,977.0
Expected SARSA,0,17,3377,0.3400000000000001,-533.0,200,0,37,-3.026643818244777,12.09715203770985,-2.6410731671533343,10.123623199006195,977.0
Expected SARSA,0,18,3524,0.29874999999999996,-351.0,147,1,25,-2.6515830241400526,14.842853722244206,-2.330459131111365,12.890043485536982,977.0
Expected SARSA,0,19,3724,0.25750000000000006,-569.0,200,0,41,-3.0835060935388388,12.907927046676962,-2.8235736747714633,11.548802755069731,977.0
Expected SARSA,0,20,3924,0.21625000000000005,-470.0,200,0,30,-2.6463210651677467,10.032485237760309,-2.357643647680111,9.409416579643587,977.0
Expected SARSA,0,21,4124,0.17499999999999993,-614.0,200,0,46,-3.15937687815598,14.220050487920409,-3.041253358591743,13.682670775603203,977.0
Expected SARSA,0,22,4324,0.13375000000000004,-299.0,200,0,11,-1.9651358862024688,4.308840723203391,-1.477659776434414,3.294773599439386,977.0
Expected SARSA,0,23,4524,0.09250000000000003,-272.0,200,0,8,-1.7679294099579224,3.0371203237907047,-1.3662450297646251,2.6296288551913625,977.0
Expected SARSA,0,24,4724,0.05125000000000002,-749.0,200,0,61,-3.770538932553208,17.20433245713451,-3.650650974409125,16.22530145902373,977.0
Expected SARSA,0,25,4924,0.010000000000000009,-263.0,200,0,7,-1.5273925702090916,2.6451800254350153,-1.2880642094713324,2.5297897181099787,977.0
Expected SARSA,0,26,5124,0.010000000000000009,-344.0,200,0,16,-1.8894734232221182,5.796141357758306,-1.67830326030943,5.575037778172328,977.0
Expected SARSA,0,27,5324,0.010000000000000009,-290.0,200,0,10,-1.8226172421171984,3.615033117876034,-1.4050931922577985,3.4638433295365845,977.0
Expected SARSA,0,28,5524,0.010000000000000009,-695.0,200,0,55,-3.5121669327432787,16.14821315221834,-3.3685750661532974,15.147388782961528,977.0
Expected SARSA,0,29,5724,0.010000000000000009,-200.0,200,0,0,-1.6042841958858418,0.01285356992050176,-0.9796329900732538,0.0032936057229830252,977.0
Expected SARSA,0,30,5886,0.010000000000000009,-177.0,162,1,4,-1.719248380011523,4.759859170407004,-1.0629463463929671,4.174029142282391,977.0
Expected SARSA,1,1,200,1.0,-803.0,200,0,67,-4.559953920632609,18.837924400688504,-3.955087526944111,14.328681367885524,
Expected SARSA,1,2,400,0.95875,-677.0,200,0,53,-3.9047251147661255,16.277283975779568,-3.4114655897684565,13.034857570117156,
Expected SARSA,1,3,600,0.9175,-821.0,200,0,69,-4.504693452271765,18.87587501008951,-3.977023837343286,14.857444725826657,
Expected SARSA,1,4,800,0.87625,-884.0,200,0,76,-4.804104726143558,19.567670185766502,-4.300398092258764,15.69343117655695,
Expected SARSA,1,5,1000,0.835,-794.0,200,0,66,-4.7793349748203795,18.171588648520974,-3.7955363066793275,10.953315530359832,
Expected SARSA,1,6,1200,0.79375,-758.0,200,0,62,-5.0606710206445085,17.957923992653196,-3.563483679131926,8.581379195061634,
