algorithm,seed,episode,cumulative_steps,eval_return,eval_return_std,eval_success_rate,eval_episode_length,setting
SARSA,3,400,3160,1.0,0.0,1.0,6.0,deterministic
SARSA,3,600,4717,1.0,0.0,1.0,6.0,deterministic
SARSA,3,800,6222,1.0,0.0,1.0,6.0,deterministic
SARSA,3,1000,7769,1.0,0.0,1.0,6.0,deterministic
SARSA,3,1200,9401,1.0,0.0,1.0,6.0,deterministic
SARSA,3,1400,11049,1.0,0.0,1.0,6.0,deterministic
SARSA,3,1600,12636,1.0,0.0,1.0,6.0,deterministic
SARSA,3,1800,14160,1.0,0.0,1.0,6.0,deterministic
SARSA,3,2000,15670,1.0,0.0,1.0,6.0,deterministic
SARSA,3,2200,17212,1.0,0.0,1.0,6.0,deterministic
SARSA,3,2400,18697,1.0,0.0,1.0,6.0,deterministic
SARSA,3,2600,20100,1.0,0.0,1.0,6.0,deterministic
SARSA,3,2800,21442,1.0,0.0,1.0,6.0,deterministic
SARSA,3,3000,22777,1.0,0.0,1.0,6.0,deterministic
SARSA,3,3200,24075,1.0,0.0,1.0,6.0,deterministic
SARSA,3,3400,25429,1.0,0.0,1.0,6.0,deterministic
SARSA,3,3600,26693,1.0,0.0,1.0,6.0,deterministic
SARSA,3,3800,27929,1.0,0.0,1.0,6.0,deterministic
SARSA,3,4000,29171,1.0,0.0,1.0,6.0,deterministic
SARSA,3,4200,30386,1.0,0.0,1.0,6.0,deterministic
SARSA,3,4400,31590,1.0,0.0,1.0,6.0,deterministic
SARSA,3,4600,32797,1.0,0.0,1.0,6.0,deterministic
SARSA,3,4800,34001,1.0,0.0,1.0,6.0,deterministic
SARSA,3,5000,35205,1.0,0.0,1.0,6.0,deterministic
SARSA,4,1,6,0.01,0.09999999999999999,0.01,7.97,deterministic
SARSA,4,200,1716,1.0,0.0,1.0,6.0,deterministic
SARSA,4,400,3116,1.0,0.0,1.0,6.0,deterministic
SARSA,4,600,4656,1.0,0.0,1.0,6.0,deterministic
SARSA,4,800,6160,1.0,0.0,1.0,6.0,deterministic
